IO Id,IO Name,Agency Name,Advertiser Name,Currency Type,Currency Exchange Rate,Ad Relevance,Booking Date,TA Rebate,IO Type,Agency Parent Company,Agency Type,ClientName
427477,Ado.Opera.OMD.Nissan.Acuerdos.Jul/sept.14,OMD,Nissan Motor Company Ltd,EUR,0.73,Automotive,,0,,Independent,Independent,
427487,Bupa B2B - July 14,Xaxis,The British United Provident Association Limited,GBP,0.59,Finance,,0,,WPP,Holding Company,
427497,FFV.Vivaki.OM.ACER.Jul.14,Vivaki Communications,Acer Inc.,EUR,0.73,Hardware & Electronics,,0,,Publicis Groupe,Holding Company,
427507,FFV.HP.Opera.OMD.Nissan.Acuerdos.Jul.14,OMD,Nissan Motor Company Ltd,EUR,0.73,Automotive,,0,,Independent,Independent,
427517,Ado_Instream_Plannet_SwissAir_SWI-14-002-CH-AVO_Juli_2014,Plan.Net,Lufthansa,EUR,0.73,Travel and Transport,,0,,Independent,Independent,
427527,Be Marlboro July 2014.Display,Isobar,Philip Morris International,USD,1,Business and Industry,,0,,Aegis,Holding Company,
427537,TF.CPM-A.Opera.OMD.Acuerdos.Jul.14,OMD,Nissan Motor Company Ltd,EUR,0.73,Automotive,,0,,Independent,Independent,
427547,Home Centre Catalogue UAE.Display,MEC,Landmark Group,USD,1,Retail,,0,,WPP,Holding Company,
427557,Home Centre Catalogue Oman.Display,MEC,Landmark Group,USD,1,Retail,,0,,WPP,Holding Company,
427567,AA Euro Jul 14,Universal McCann,American Airlines,GBP,0.59,Travel and Transport,,0,,Interpublic,Holding Company,
427577,FFV.GM.Focus.Transit.Jul.14,Group M,Generalitat of Catalonya,EUR,0.73,Telecoms,,0,,WPP,Holding Company,
427587,TF.CPM-A.DG.Luckia.Jul.14,Digital Group,Luckia,EUR,0.73,Entertainment,,0,,Independent,Independent,
427597,TF - Lufthansa - UK Baseline - July - September 14,Xaxis,Lufthansa,GBP,0.59,Travel and Transport,,0,,WPP,Holding Company,
427607,TF - Mitsubishi BAU DR - Q3,MGOMD,Mitsubishi Group,GBP,0.59,Automotive,,0,,Omnicom Group,Holding Company,
